rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
226,frame_0024.jpg,9.6,0.2357,0.3153,0.1,0.24,7,1,False,False
227,frame_0027.jpg,10.8,0.2339,0.3598,0.1,0.12,12,1,False,False
228,frame_0131.jpg,52.4,0.2322,0.3723,0.1,0.08,12,1,False,False
229,frame_0029.jpg,11.6,0.2318,0.3275,0.2,0.04,12,2,False,False
230,frame_0305.jpg,122.0,0.2283,0.3046,0.2,0.08,12,2,False,False
231,frame_0175.jpg,70.0,0.2247,0.2774,0.1,0.28,14,1,False,False
232,frame_0294.jpg,117.6,0.2247,0.2814,0.2,0.12,9,2,False,False
233,frame_0313.jpg,125.2,0.2223,0.3085,0.2,0.04,15,2,False,False
234,frame_0006.jpg,2.4,0.2154,0.3548,0.1,0.04,6,1,False,False
235,frame_0011.jpg,4.4,0.2154,0.2748,0.1,0.24,7,1,False,False
236,frame_0112.jpg,44.8,0.2131,0.2861,0.1,0.2,12,1,False,False
237,frame_0371.jpg,148.4,0.2105,0.3289,0.1,0.08,16,1,False,False
238,frame_0074.jpg,29.6,0.21,0.388,0.0,0.08,10,0,False,False
239,frame_0072.jpg,28.8,0.2038,0.3435,0.0,0.16,13,0,False,False
240,frame_0290.jpg,116.0,0.203,0.33,0.1,0.04,11,1,False,False
241,frame_0199.jpg,79.6,0.193,0.194,0.0,0.48,5,0,False,False
242,frame_0198.jpg,79.2,0.1911,0.2062,0.0,0.44,8,0,False,False
243,frame_0010.jpg,4.0,0.1719,0.2037,0.1,0.2,6,1,False,False
244,frame_0008.jpg,3.2,0.1716,0.2351,0.1,0.12,7,1,False,False
